time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-22T21:54:05.660Z,36.29416667,-98.19133333,6.15,3.58,ml,98,45,0,0.16,ok,ok2019wxlv,2019-11-22T22:40:20.214Z,"22km NNE of Okeene, Oklahoma",earthquake,,0.3,0.25,42,reviewed,ok,ok
2019-11-22T21:16:26.780Z,19.2531,-67.3453,24,2.95,md,16,298,0.8197,0.44,pr,pr2019326022,2019-11-22T22:17:19.040Z,"81km N of Isabela, Puerto Rico",earthquake,2.36,28.97,0.37,12,reviewed,pr,pr
2019-11-22T20:19:17.510Z,19.2898331,-155.8948364,-1.21,3.01,ml,49,239,0.2267,0.3,hv,hv71246946,2019-11-22T20:36:39.040Z,"10km SSE of Honaunau-Napoopoo, Hawaii",earthquake,1.44,0.61,3.11,25,automatic,hv,hv
2019-11-22T18:43:23.697Z,-23.4369,-114.7758,10,4.7,mb,,191,6.091,0.76,us,us70006bv5,2019-11-22T20:03:43.040Z,Easter Island region,earthquake,14.8,2,0.063,76,reviewed,us,us
2019-11-22T18:32:25.460Z,18.9188,-65.804,45,2.5,md,6,306,0.6708,0.43,pr,pr2019326020,2019-11-22T20:23:10.040Z,"63km NNE of Vieques, Puerto Rico",earthquake,5.8,12.36,0.37,5,reviewed,pr,pr
2019-11-22T17:51:47.800Z,19.659,-67.1526,16,3.17,md,17,250,1.1922,0.37,pr,pr2019326018,2019-11-22T20:10:40.040Z,"118km N of Isabela, Puerto Rico",earthquake,2.32,4.87,0.28,15,reviewed,pr,pr
2019-11-22T16:57:53.393Z,56.3966,-156.5548,42.3,3.2,ml,,,,0.45,ak,ak019ezf2efw,2019-11-22T18:59:29.040Z,"86km NW of Chirikof Island, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-11-22T16:04:08.720Z,35.13333333,-95.35433333,6.61,2.55,ml,61,131,0.116077222,0.21,ok,ok2019wxah,2019-11-22T18:57:12.040Z,"1km NE of Quinton, Oklahoma",earthquake,,0.6,0.23,6,reviewed,ok,ok
2019-11-22T16:02:26.633Z,31.9924,131.9012,46.64,4.6,mb,,126,1.422,0.99,us,us70006br0,2019-11-22T17:01:53.040Z,"40km ESE of Takanabe, Japan",earthquake,9.9,9.6,0.141,15,reviewed,us,us
2019-11-22T15:14:35.468Z,-2.9864,127.4284,58.53,4.6,mb,,90,3.733,1.33,us,us70006bnx,2019-11-22T19:05:08.040Z,"47km NE of Namlea, Indonesia",earthquake,7.1,11.4,0.136,16,reviewed,us,us
2019-11-22T14:55:33.827Z,-18.3395,176.2216,11.91,4.3,mb,,108,1.839,0.75,us,us70006bnp,2019-11-22T19:14:45.040Z,"139km WSW of Nadi, Fiji",earthquake,9.4,5.8,0.147,13,reviewed,us,us
2019-11-22T14:42:55.508Z,38.3616,-119.2863,7.9,3.1,ml,34,46.65,0.121,0.1892,nn,nn00711352,2019-11-22T22:35:27.552Z,"12km NNW of Bridgeport, California",earthquake,,1.7,0.36,17,reviewed,nn,nn
2019-11-22T14:39:32.950Z,38.3494987,-119.3128357,0.84,3.12,ml,98,100,0.1833,0.46,nc,nc73307426,2019-11-22T16:41:06.458Z,"13km NW of Bridgeport, CA",earthquake,0.62,1.54,0.466,22,automatic,nc,nc
2019-11-22T14:29:59.230Z,19.1555,-65.8753,42,3.14,md,12,273,0.8717,0.5,pr,pr2019326017,2019-11-22T16:00:03.230Z,"80km NNE of San Juan, Puerto Rico",earthquake,3.73,13.64,0.27,5,reviewed,pr,pr
2019-11-22T14:08:39.430Z,18.7806,-68.3971,113,2.95,md,8,192,1.444,0.37,pr,pr2019326016,2019-11-22T15:59:27.422Z,"22km N of Punta Cana, Dominican Republic",earthquake,6.62,3.22,0.34,4,reviewed,pr,pr
2019-11-22T13:52:58.410Z,19.0446,-65.8158,29,2.92,md,8,310,0.7828,0.31,pr,pr2019326015,2019-11-22T15:58:48.286Z,"68km N of Vieques, Puerto Rico",earthquake,2.73,17.88,0.24,4,reviewed,pr,pr
2019-11-22T11:12:29.890Z,18.1738,-68.0603,98,2.88,md,9,196,0.9653,0.33,pr,pr2019326014,2019-11-22T15:58:06.342Z,"57km SE of Punta Cana, Dominican Republic",earthquake,3.41,2.58,0.3,4,reviewed,pr,pr
2019-11-22T11:05:46.384Z,-6.2514,150.0045,58.43,4.7,mb,,116,2.968,0.73,us,us70006bj2,2019-11-22T11:24:02.040Z,"50km E of Kandrian, Papua New Guinea",earthquake,9.1,8.7,0.12,21,reviewed,us,us
2019-11-22T11:01:16.000Z,19.194,-67.2606,24,3.17,md,14,292,0.7417,0.41,pr,pr2019326013,2019-11-22T11:40:08.040Z,"75km N of Isabela, Puerto Rico",earthquake,1.96,25.77,0.29,9,reviewed,pr,pr
2019-11-22T10:36:15.269Z,52.4637,152.9591,465.02,4.3,mb,,118,2.949,0.69,us,us70006bip,2019-11-22T10:57:49.040Z,"266km WNW of Ozernovskiy, Russia",earthquake,11,8.8,0.035,230,reviewed,us,us
2019-11-22T10:18:50.290Z,19.1731,-67.1906,38,2.95,md,18,223,0.7101,0.81,pr,pr2019326010,2019-11-22T10:42:32.040Z,"82km N of Isabela, Puerto Rico",earthquake,4.019,17.98,0.41,14,reviewed,pr,pr
2019-11-22T09:21:15.415Z,-31.3686,-177.9407,10,5.1,mww,,110,2.116,1.19,us,us70006bhq,2019-11-22T09:39:04.040Z,"91km E of L'Esperance Rock, New Zealand",earthquake,10.2,1.9,0.08,15,reviewed,us,us
2019-11-22T09:10:16.911Z,40.6119,-115.8032,1.5,2.7,ml,10,107.92,0.448,0.1555,nn,nn00711328,2019-11-22T17:06:15.430Z,"18km ESE of Carlin, Nevada",earthquake,,4.5,0.12,8,reviewed,nn,nn
2019-11-22T09:07:46.948Z,9.5924,-84.5882,35,4.3,mwr,,152,0.621,1.03,us,us70006bhm,2019-11-22T18:16:26.088Z,"5km ESE of Jaco, Costa Rica",earthquake,5.4,2,0.063,24,reviewed,us,us
2019-11-22T09:06:08.550Z,18.341,-67.9016,113,3,md,6,174,0.8598,0.26,pr,pr2019326012,2019-11-22T12:09:01.040Z,"66km SE of Punta Cana, Dominican Republic",earthquake,3.81,2.62,0.21,6,reviewed,pr,pr
2019-11-22T09:05:09.723Z,31.9798,131.9174,41.68,5.2,mww,,78,1.441,1.2,us,us70006bhb,2019-11-22T15:52:54.040Z,"42km ESE of Takanabe, Japan",earthquake,7.1,7,0.08,15,reviewed,us,us
